sample_id,trial,paired_seed,condition,valid,trimmed_exact_match,exact_match_whitespace_normalized,parse_status,trace_quality_score,trace_word_count,fingerprint,record_path,errors
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,1,373466369,obfuscated_codesteer,True,False,False,missing_or_invalid_final_json,0.1,0,405fba3b21fa07385e5e3e4a89b0db23ea57a5b8f0cfce0505044dbd058d04d8,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_001/obfuscated_codesteer/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,1,373466369,obfuscated_plain,True,False,False,missing_or_invalid_final_json,0.1,0,2c6371b74b99593c35fd786f4e5dc314bd038f06f561d944dc635f8496d1670a,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_001/obfuscated_plain/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,1,373466369,obfuscated_prompt_slice,True,False,False,missing_or_invalid_final_json,0.1,0,eaf4938da3b6f52ef209ca47615d47dea74c8cfb51124bcdd68f248b7baea08d,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_001/obfuscated_prompt_slice/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,1,373466369,original_plain,True,False,False,missing_or_invalid_final_json,0.1,0,968322b0b6432a4c83766e514e9ad76b66d9f1417df900c64a2008a9fc063789,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_001/original_plain/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,2,1058779344,obfuscated_codesteer,True,False,False,missing_or_invalid_final_json,0.91490385,295,2432ca0fb3171643e1b4b1517d6da26a0c4602ba98a7f15ec2621ea9a46872bb,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_002/obfuscated_codesteer/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,2,1058779344,obfuscated_plain,True,False,False,missing_or_invalid_final_json,0.8,249,6da16e1e7ad7c2373f69ab13fb0d270fd3e0b6089d56ba650996502752bde144,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_002/obfuscated_plain/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,2,1058779344,obfuscated_prompt_slice,True,False,False,marker_json,0.45,61,278083dee8effc990d613a23e60823feeb68f059a6797ebd871b7a18bf75203e,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_002/obfuscated_prompt_slice/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,2,1058779344,original_plain,True,False,False,marker_json,0.1,0,64cce911a23a5de81fa379fa943b020057be7cbb1375d1dc965119ffe151c285,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_002/original_plain/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,3,2097555788,obfuscated_codesteer,True,False,False,missing_or_invalid_final_json,0.1,0,c8af53b508b1a7990d29d23b94874e4bacdb6096c6d04158f892ba7e127763fd,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_003/obfuscated_codesteer/record.json,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,3,2097555788,obfuscated_plain,True,False,False,marker_json,0.1,0,a7fa2cfb788ae41948f1528b4ad3b93628ceb9e6ea8e54ddfbfe111f7c4ab4f0,/home/cs/x/xxr230000/LLM-Attention-Fixation_submission/PromptSteering/long-code-sample-work/full_results_cached/shard_2/runs/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000/trial_003/obfuscated_plain/record.json,
